REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C114,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,2775.000,-4155.000,270.000,YES
C115,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,2285.000,-3465.000,270.000,YES
C116,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,1890.000,-2830.000,0.000,YES
C117,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2497.240,-4559.551,270.000,YES
C118,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2513.051,-4638.248,180.000,YES
C119,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2353.000,-4325.000,90.000,YES
C120,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2513.039,-4669.748,180.000,YES
C121,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,1890.000,-2665.000,0.000,YES
C122,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,1860.000,-3975.000,0.000,YES
C123,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,1860.000,-3910.000,0.000,YES
C124,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2733.551,-4323.252,180.000,YES
C125,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2633.598,-4242.248,0.000,YES
C126,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1895.000,-3580.000,180.000,YES
C127,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1895.000,-3640.000,180.000,YES
C128,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1895.000,-3705.000,180.000,YES
C129,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1730.000,-3790.000,0.000,YES
C130,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1730.000,-3730.000,0.000,YES
